"ser_id";"ser_nombre";"ser_fk_empresa"
459;"REVISAR ENSENDIDO";1
460;"CAMBIAR FILTRO AIRE ACONDICIONADO";1
461;"CAMBIO BOOSTER";1
462;"REVISION 10000 KMS";1
463;"CAMBIO SENSOR ACEITE";1
464;"COTIZAR RADIO CONTROLES";1
465;"REVISAR RUIDO INTERNO";1
466;"CAMBIO TERMINAL DIR IZQ";1
467;"CAMBIO EJE IZQ";1
468;"CAMBIO SOPORTE EXOSTO";1
469;"M O CAMBIO SOPORTE";1
470;"BAJAR BILLARE";1
471;"RADIADOR CALEFACCI”N ORIGINAL ";1
472;"MANGUERAS RADIADOR";1
473;"TIJERA INFERIOR";1
474;"SOPORTES AMORTIGUADOR";1
475;"ARREGLO AIRE ACONDISIONADO";1
476;"BRASO AXIAL";1
477;"SWITCH PARQUEO";1
478;"SWITCH DESEMPANADOR";1
479;"SWITCH BLOQUEO PUERTAS";1
480;"ACEITE  CAJA";1
481;"M O CAMBIO CLOSCH";1
482;"REVISAR RUIDO MORDASAS";1
483;"REVISAR CORTO";1
484;"SERVICIO GRUA";1
485;"REVISAR CARDAN";1
486;"CANBIO MANGERA";1
487;"PATIN POLEA";1
488;"ARREGLO CONTROL CAMBIOS";1
489;"M-O CAMBIO TIRANTAS";1
490;"MO BAJAR ALTERNADOR";1
491;"CAJA CAMBIOS";1
492;"MO BAJAR CAJA";1
493;"CAMBÃO TIJERAS";1
494;"PAST`LLAS FRENOS";1
495;"ROTULA INFERIOR";1
496;"ARREGLO CAJA DIRECCIÛN ISI FIN";1
497;"EMPAQUETADORA CARTEL 120000";1
498;"VARSOL";1
499;"M.O CAMBIAR KIT DE BOMBA DE AGUA Y RETENEDORES";1
500;"M.O EMPACAR CARTE";1
501;"M.O BAJAR Y MONTAR CAJA DE DIRECCIÛN";1
502;"M.O REVISAR EL MOTOR ";1
503;"REVICION DE RALLADORES ";1
504;"CAMBIO DE PASTILLAS ";1
505;"KIT DE REPARTICION";1
506;"REPARAR CULATA";1
507;"ANALISIS DE GASES";1
508;"CAMBIO DE ACEITE MOTOR Y FILTRO";1
509;"PASTILLAS HYQ";1
510;"AMORTIGUADORES TRACEROS ";1
511;"REVICION DE FRENOS Y CAMBIO DE AMORTIGUADORES ";1
512;"CAMBIO DE CORREA ACCESORIOS ";1
513;"CAMBIO DE AMORTIGUADOR TRACEROS ";1
514;"VARILLA MEDIDORA DE ACEITE ";1
515;"REVICION DE GASES";1
516;"CAMBIAR MAGUERA PULPO";1
517;"CAMBIO CUERPO DE ACELERACION ";1
518;"M.O CAMBIAR MAGUERA PULPO";1
519;"AJUSTES SUSPENCION ";1
520;"CAMBIO CONTROL CAMBIOS";1
521;"CAMBIO BOMBA HIDRAULICA";1
522;"CAMBIO EMPAQUETADURA DEL CLOSH";1
523;"REVICION DE FRENOS Y CAMBIO DE PASTILLAS ";1
524;"CAMBIO DE CACHOS";1
525;"ARREGLO CONTOL DE LUCES ";1
526;"REVISAR CAJA VELOCIDADES ";1
527;"REVISAR PALANCA FRENO DE MANO ";1
528;"REVISAR CHAPA GENERAL ";1
529;"PINTURA DE RAYONES  BOMPER TRACESO";1
530;"PINTURA DE RAYONES BOMPER DELANTERO ";1
531;"REVICION DE REFRIGERACI”N ";1
532;"AJUSTE FRENO DE MANO ";1
533;"CAMBIAR CLOSH";1
534;"SERVICIO EL…CTRICO ";1
535;"REVISAR BUJIAS";1
536;"RECARGA  FILTRO DE AIRE ACONDICIONADO  ";1
537;"RECARGA DE AIRE ACONDICIONADO ";1
538;" FILTRO  DE AIRE ACONDICIONADO ";1
539;"REVICION DE SUSPENCION";1
540;"CAMBIO DE SUSPENCION ";1
541;"M.O CAMBIAR SOPORTE Y AJUSTE GENERAL ";1
542;" REVISION GENERAL";1
543;"CAMBIO MICROMOTOR";1
544;" LIQUIDO DE FRENOS ";1
545;"CORREA ALTERNADOR";1
546;"CAMBIO FLUIDO GENERAL ";1
547;"REVISAR FUGAS DE ACEITE";1
548;"REVISION TABLERO VELOCIMETRO";1
549;"REVISI”N DE CORREAS ";1
550;"REVISI”N LUCES TRASERAS";1
551;"CALIBRAR FRENOS";1
552;"REGUALADOR Y ESCOBILLAS";1
553;"RODAMIENTOS ALTERNADOR";1
554;"DISCOS FRENOS ";1
555;"CAMBIO DE TIJERAS INFERIORES";1
556;" CAMBIO TIRANTAS ESTABILIZADORA ";1
557;"CAMBIO DE PASTILLAS FRENOS ";1
558;"CAMBIO SOPORTE DE MOTOR SUPERIOR";1
559;"TRENSA Y MOTOR";1
560;" CAMBIO JUEGO BANDAS ";1
561;" CAMBIO CILINDROS FRENOS";1
562;"CAMBIAR LA GUAYA DEL CLOSH";1
563;"CAMBIO DE GUAYA";1
564;"REVISAR EMBRAGUE";1
565;"ACEITE  HIDRAULICO";1
566;" DISCOS FRENOS ";1
567;"RETENEDOR CAJA";1
568;"PASTILLAS  DE FRENOS DELANTERAS ";1
569;"PASTILLAS DE FRENOS TRASERAS ";1
570;"RETENEDOR CAJA DERECHO";1
571;"CAMBIO SELINCIADOR EXOSTO";1
572;"M.O REVISAR FRENOS,SINCRONIZAR MOTOR,CAMBIO CORREA";1
573;"M.O REVISION TECNOMECANICA";1
574;"PASTILLAS DE FRENOS DELANTERAS ";1
575;"COLOCAR KIT EMBRAGUE MEC¡NICO ";1
576;"REVISAR CONTROL DE CAMBIO ";1
577;"ARREGLO TABLERO";1
578;"ARREGLO DE TABLERO";1
579;"CAMBIO BATERIAS Y ACEITE";1
580;"CAMBIO BASE AMORTIGUADOR,CAMBIO GUARDAPOLVO ";1
581;"REVISION FUGA DE ACEITE ";1
582;"CAMBIO KIT DE REPARTICION ";1
583;"COMBUSTIBLE.";1
584;"CAMBIAR BASES AMORTIGUADOR ";1
585;"REVISION KILOMETRAJE 10.000";1
586;"M.O CAMBIO DE CAJA DE DIRECCION,ALINEACION Y BALAN";1
587;"EMPACAR CARTER Y EMPAQUE";1
588;"QUITAR GAS ";1
589;"REVISAR SUSPENCION .";1
590;"REVISION DE PASTILLAS";1
591;"REVISION GENERAL ";1
592;"CALIBRAR FRENOS  ";1
593;"CAMBIO CLOSH";1
594;"CAMBIO SOPORTE CAJA ";1
595;"REVISAR RUIDO ACEITE ";1
596;"REVISAR RINES ";1
597;"M.O CAMBIO KIT DE REPARTICION Y SINCRONIZAR MOTOR";1
598;"CAMBIO RODAMIENTO TRASERO IZQUIERDO";1
599;"REVISION DE BANDAS";1
600;"REVISION DE MICROMOTOR ";1
601;"REVISAR RUIDO POR DEBAJO DEL CARRO";1
602;"REVISION DE FRENOS ";1
603;"REPARAR MOTOR,REVISAR FRENOS,SUSPENCION GENERAL, R";1
604;"RETIFICADORA,REPARAR CULATA, RETIFICAR CIGUE—A,RET";1
605;"REVISAR  ENSENDIDO";1
606;"ALINEACION TRASERA Y CAMBERES ";1
607;"SERVICIO PRENSA .";1
608;"CAMBIO RODAMIENTOS. ";1
609;"REVISAR TESTIGO EMERGENCIA";1
610;"NIVELAR ACEITE";1
611;"PURGAR EL SISTEMA DE REFRIGERACION ";1
612;"ARREGLO CONDENSADOR.";1
613;"BOMBA DE AGUA .";1
614;"REVISAR RUIDO SUSPENCION";1
615;"REVISAR GAS ";1
616;"LABADO GENERAL ";1
617;"CAMBIO DE ACEITE Y FILTROS ";1
618;"CAMBIAR AMORTIGUADORES TRASEROS ";1
619;"1 REFRIGERANTE ";1
620;"M.O ARREGLAR PROTECTOR ";1
621;"M.O CAMBIO DE AMORTIGUADORES ";1
622;"ARREGLO MANGERA";1
623;"MO  CAMBIO MANGERA";1
624;"REVISAR ESTACION DE ALTA Y GASES";1
625;"REVISAR SOPORTE MOTOR ";1
626;"REVISAR CONSUMO DE CORRIENTE ";1
627;"SE RECALIENTA EL CARRO,Y SE DESCARGA LA BATERIA ";1
628;"REVISAR SINCRONIZACION ";1
629;"REVISION DE SINCRONIZACION";1
630;"CAMBIO DE CLUSETAS ";1
631;"CAMBIO DE ACEITE  ";1
632;"FILTRO DE AIRE ACONDICIONADO.";1
633;"ESCANEAR .";1
634;"REVISION DE SISTEMA DE ACELERACI”N ";1
635;"REVISAR FRENO DE MANO ";1
636;"ALINEACION Y BALANCIO Y RETIFICAR RINES";1
637;"REVISAR BOMBA DE AGUA ";1
638;"REVISAR HIDRAULICO";1
639;"REVISAR NIVELES .";1
640;"ARREGLO LATONERIA Y PINTURA ";1
641;"CAMBIO RADIADOR,REFRIGERANTE Y CORREA ";1
642;"REFRIGERANTE .";1
