"pr_id";"pr_fk_marca";"pr_nombre";"pr_cantidad";"pr_codigo";"pr_activos";"pr_salida";"pr_valor";"pr_adquisicion";"pr_fk_empresa"
163;10;"FILTRO DE ACEITE MF50";0;"MF50";0;0;1.0;1.0;1
164;10;"FILTRO DE AIRE MASTER MFA 575P";0;"575P";0;0;1.0;1.0;1
165;10;"FILTRO DE ACEITE FM1446B";0;"MF1446B";0;0;1.0;1.0;1
166;10;"FILTRO DE ACEITE MF65";0;"MF65";0;0;1.0;1.0;1
167;10;"FILTRO DE ACEITE MF75";0;"MF75";0;0;1.0;1.0;1
168;10;"FILTRO DE ACEITE MF73";0;"MF73";0;0;1.0;1.0;1
169;10;"FILTRO DE ACEITE FM1049";0;"FM1049";0;0;1.0;1.0;1
170;10;"FILTRO DE ACEITE FM1044";0;"FM1044";0;0;1.0;1.0;1
171;10;"FILTRO DE ACEITE FM1045";0;"FM1045";0;0;1.0;1.0;1
172;10;"FILTRO DE ACEITE MF35";0;"MF35";0;0;1.0;1.0;1
173;10;"FILTRO DE ACEITE FM1040";0;"FM1040";0;0;1.0;1.0;1
174;10;"FILTRO DE ACEITE MF14";0;"MF14";0;0;1.0;1.0;1
175;10;"FILTRO DE ACEITE MF3603";0;"MF3603";0;0;1.0;1.0;1
176;10;"FILTRO DE ACEITE FM1041";0;"MF1041";0;0;1.0;1.0;1
177;10;"FILTRO DE ACEITE MF16";0;"MF16";0;0;1.0;1.0;1
178;10;"FILTRO DE ACEITE FM159B";0;"FM159B";0;0;1.0;1.0;1
179;10;"FILTRO DE ACEITE FM7195W";0;"FM7195W";0;0;1.0;1.0;1
180;10;"FILTRO DE AIRE TOYOTA RUNNER/ PRADO";0;"1";0;0;1.0;1.0;1
181;10;"FILTRO DE ACEITE FM 1042";0;"FM1042";0;0;1.0;1.0;1
182;10;"FILTRO DE ACEITE OLP134";0;"OLP134";0;0;1.0;1.0;1
183;10;"FILTRO DE ACEITE FO3807";0;"FO3807";0;0;1.0;1.0;1
187;10;"FILTRO DE ACEITE FO3387";0;"FO3387";0;0;1.0;1.0;1
189;10;"FILTRO DE AIRE MFAC10012";0;"MFAC10012";0;0;1.0;1.0;1
190;10;"FILTRO DE AIRE ACONDICIONADO MFAC1003";0;"MFAC1003";0;0;1.0;1.0;1
191;10;"FILTRO DE AIRE ACONDICIONADO MFAC1004";0;"MFAC1004";0;0;1.0;1.0;1
192;10;"FILTRO DE AIRE ACONDICIONADO MFAC1006";0;"MFAC1006";0;0;1.0;1.0;1
193;10;"FILTRO DE AIRE ACONDICIONADO MFAC1007";0;"MFAC1007";0;0;1.0;1.0;1
194;10;"FILTRO DE AIRE ACONDICIONADO MFA1009";0;"MFAC1009";0;0;1.0;1.0;1
195;10;"FILTRO DE ACEITE FO5796";0;"FO5796";0;0;1.0;1.0;1
196;10;"FILTRO DE ACEITE FO6607";0;"FO6607";0;0;1.0;1.0;1
197;10;"FILTRO DE ACEITE FO4967";0;"FO4967";0;0;1.0;1.0;1
198;10;"FILTRO DE AIRE ACONDICIONADO MFAC1008";0;"MFAC1008";0;0;1.0;1.0;1
199;10;"FILTRO DE AIRE ACONDICIONADO MFAC1011";0;"MFAC1011";0;0;1.0;1.0;1
200;10;"FILTRO DE AIRE ACONDICIONADO MFAC1012";0;"MFAC1012";0;0;1.0;1.0;1
201;10;"FILTRO DE AIRE ACONDICIONADO MFAC1013";0;"MFAC1013";0;0;1.0;1.0;1
202;10;"FILTRO DE AIRE ACONDICIONADO MFAC1015";0;"MFAC1015";0;0;1.0;1.0;1
203;10;"FILTRO DE AIRE ACONDICIONADO MFAC1016";0;"mfac1016";0;0;1.0;1.0;1
204;10;"FILTRO DE AIRE ACONDICIONADO MFAC17";0;"mfac17";0;0;1.0;1.0;1
205;10;"FILTRO DE AIRE ACONDICIONADO MFAC1021";0;"mfac1021";0;0;1.0;1.0;1
206;10;"FILTRO DE AIRE ACONDICIONADO MFAC1022";0;"mfac1022";0;0;1.0;1.0;1
207;10;"FILTRO DE AIRE ACONDICIONADO MFAC1025";0;"mfac1025";0;0;1.0;1.0;1
208;10;"FILTRO DE AIRE ACONDICIONADO MFAC1027";0;"mfac1027";0;0;1.0;1.0;1
209;10;"FILTRO DE AIRE ACONDICIONADO MFAC1028";0;"mfac1028";0;0;1.0;1.0;1
210;10;"FILTRO DE AIRE ACONDICIONADO MFAC1029";0;"mfac1029";0;0;1.0;1.0;1
211;10;"FILTRO DE AIRE ACONDICIONADO MFAC1031";0;"mfac1031";0;0;1.0;1.0;1
212;2;"FILTRO DE AIRE ACONDICIONADO MFAC1032 DUSTER";0;"7709783310322";0;0;1.0;1.0;1
213;10;"FILTRO DE AIRE ACONDICIONADO MFAC1034";0;"mfac1034";0;0;1.0;1.0;1
214;10;"FILTRO DE AIRE ACONDICIONADO MFAC1036";0;"mfac1036";0;0;1.0;1.0;1
215;10;"FILTRO DE AIRE ACONDICIONADO MFAC1039";0;"mfac1039";0;0;1.0;1.0;1
216;10;"FILTRO DE AIRE ACONDICIONADO MFAC1041";0;"mfac1041";0;0;1.0;1.0;1
217;10;"RTV SELLADOR WURTH";0;"4056807624648";0;0;1.0;1.0;1
218;10;"FILTROS DE GASOLINA";0;"1";0;0;1.0;1.0;1
219;10;"FILTRO DE ACEITE MFP289632";0;"mfp289632";0;0;1.0;1.0;1
220;10;"FILTRO DE ACEITE GENERICO";0;"1";0;0;1.0;1.0;1
221;10;"PASTILLAS RALLY 10209";0;"1029";0;0;1.0;1.0;1
222;10;"PASTILLAS RALLY 8801";0;"8801";0;0;1.0;1.0;1
223;2;"PASTILLAS RENAULT LOGAN / SANDERO";0;"410600222r1";0;0;1.0;1.0;1
224;10;"PASTILLAS RALLY 7677";0;"7677";0;0;1.0;1.0;1
225;10;"PASTILLAS RALLY TOYOTA";0;"1";0;0;1.0;1.0;1
